Country,latitude,longitude
Argentina,-38.416097,-63.616672
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Barbados,13.193887,-59.543198
Belarus,53.709807,27.953389
Belgium,50.503887,4.469936
Bolivia,-16.290154,-63.588653
Brazil,-14.235004,-51.92528
Bulgaria,42.733883,25.48583
Canada,56.130366,-106.346771
Chile,-35.675147,-71.542969
China,35.86166,104.195397
Colombia,4.570868,-74.297333
Costa Rica,9.748917,-83.753428
Croatia,45.1,15.2
Cuba,21.521757,-77.781167
Cyprus,35.126413,33.429859
Czech Republic,49.817492,15.472962
Denmark,56.26392,9.501785
El Salvador,13.794185,-88.89653
Estonia,58.595272,25.013607
Finland,61.92411,25.748151
France,46.227638,2.213749
Georgia,42.315407,43.356892
Germany,51.165691,10.451526
Greece,39.074208,21.824312
Guatemala,15.783471,-90.230759
Honduras,15.199999,-86.241905
Hong Kong,22.396428,114.109497
Hungary,47.162494,19.503304
Iceland,64.963051,-19.020835
India,20.593684,78.96288
Ireland,53.41291,-8.24389
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Jamaica,18.109581,-77.297508
Japan,36.204824,138.252924
Kuwait,29.31166,47.481766
Kyrgyzstan,41.20438,74.766098
Latvia,56.879635,24.603189
Luxembourg,49.815273,6.129583
Macedonia,41.6086,21.7453
Mexico,23.634501,-102.552784
Moldova,47.411631,28.369885
Montenegro,42.708678,19.37439
Netherlands,52.132633,5.291266
New Zealand,-40.900557,174.885971
Nicaragua,12.865416,-85.207229
Norway,60.472024,8.468946
Panama,8.537981,-80.782127
Paraguay,-23.442503,-58.443832
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Qatar,25.354826,51.183884
Romania,45.943161,24.96676
Serbia,44.016521,21.005859
Singapore,1.352083,103.819836
Slovakia,48.669026,19.699024
Slovenia,46.151241,14.995463
South Africa,-30.559482,22.937506
South Korea,35.907757,127.766922
Spain,40.463667,-3.74922
Swaziland,-26.522503,31.465866
Sweden,60.128161,18.643501
Switzerland,46.818188,8.227512
Taiwan,23.69781,120.960515
Turkey,38.963745,35.243322
Ukraine,48.379433,31.16558
United Kingdom,55.378051,-3.435973
United States,37.09024,-95.712891
Uruguay,-32.522779,-55.765835
Venezuela,6.42375,-66.58973
Zimbabwe,-19.015438,29.154857
