"","Country","GDP","Homicides","Suicides","Cultural.Diversity.Index"
"1","Argentina",20700,2.58,1.57,"0"
"2","Australia",49900,0.16,0.76,"0.147"
"3","Austria",49200,0.1,2.43,"0.1"
"4","Azerbaijan",17400,0.27,0.01,"0.187"
"5","Barbados",17500,3.12,NA,""
"6","Belarus",18600,0.14,NA,"0.228"
"7","Belgium",46300,0.33,1.33,"0.462"
"8","Bolivia",7500,0.74,NA,"0.662"
"9","Brazil",15500,19.99,0.45,"0.02"
"10","Bulgaria",21600,0.34,0.97,"0.25"
"11","Canada",48100,0.38,1.52,"0.499"
"12","Chile",24600,1.02,0.81,"0.167"
"13","China",16600,NA,NA,"0.154"
"14","Colombia",4000,23.93,0.87,"0.02"
"15","Costa Rica",17200,5.92,1.27,"0.078"
"16","Croatia",24100,0.4,2.37,"0.185"
"17","Cuba",11900,0.2,0.3,"0.02"
"18","Cyprus",36600,1.05,0.58,"0.359"
"19","Czech Republic",35200,0.15,1.66,"0.064"
"20","Denmark",49600,0.22,1.09,"0.128"
"21","El Salvador",8900,26.49,0.13,"0.18"
"22","Estonia",31500,0.15,2.11,"0.492"
"23","Finland",44000,0.32,2.94,"0.132"
"24","France",43600,0.21,2.16,"0.251"
"25","Georgia",10600,0.49,0.09,"0.404"
"26","Germany",50200,0.07,0.84,"0.09"
"27","Greece",27800,0.53,0.86,"0.05"
"28","Guatemala",8200,29.62,0.34,"0.493"
"29","Honduras",5500,66.64,0.41,"0.167"
"30","Hong Kong",61000,0,0.03,"unavailable"
"31","Hungary",28900,0.11,0.81,"0.185"
"32","Iceland",52100,0,1.25,"unavailable"
"33","India",7200,0.3,0.14,"0.667"
"34","Ireland",72600,0.25,0.28,"0.157"
"35","Israel",36200,1.04,0.67,"0.033"
"36","Italy",38000,0.35,0.87,"0.04"
"37","Jamaica",9200,30.38,0.34,"0.027"
"38","Japan",42700,0,0.04,"0.012"
"39","Kuwait",69700,0.36,0,"0.54"
"40","Kyrgyzstan",3700,0.53,0.07,"0.624"
"41","Latvia",27300,0.18,0.94,"0.441"
"42","Luxembourg",109100,0,1.16,"unavailable"
"43","Macedonia",15200,0.91,0.63,"0.432"
"44","Mexico",19500,6.34,0.44,"0.434"
"45","Moldova",5700,0.45,0.42,"0.401"
"46","Montenegro",NA,2.42,6.49,"unavailable"
"47","Netherlands",53600,0.29,0.28,"0.077"
"48","New Zealand",38500,0.11,0.84,"0.363"
"49","Nicaragua",NA,3.72,0.34,"0.095"
"50","Norway",70600,0.1,1.63,"0.098"
"51","Panama",NA,14.36,0.57,"0.168"
"52","Paraguay",NA,5.78,1.16,"0.039"
"53","Peru",NA,4.22,0.07,"0.506"
"54","Philippines",NA,8.9,NA,"0.116"
"55","Poland",29300,0.04,0.09,"0.041"
"56","Portugal",30300,0.42,1.01,"0.04"
"57","Qatar",124900,0.15,NA,"unavailable"
"58","Romania",NA,0.04,0.06,"0.265"
"59","Serbia",NA,0.61,2.49,""
"60","Singapore",90500,0.02,0.12,"0.388"
"61","Slovakia",32900,0.26,0.94,"0.293"
"62","Slovenia",34100,0.2,2.34,"0.17"
"63","South Africa",NA,8.2,0.1,"0.53"
"64","South Korea",39400,0.02,0.04,"0.004"
"65","Spain",38200,0.15,0.42,"0.263"
"66","Swaziland",NA,37.16,NA,"0.143"
"67","Sweden",51300,0.19,1.2,"0.189"
"68","Switzerland",61400,0.21,2.74,"0.418"
"69","Taiwan",49800,0.6,0.12,"0.169"
"70","Turkey",NA,1.03,0.81,"0.299"
"71","Ukraine",NA,0.24,NA,"unavailable"
"72","United Kingdom",43600,0.06,0.15,"0.184"
"73","United States",59500,3.5,6.69,"0.271"
"74","Uruguay",NA,4.78,4.68,"0"
"75","Venezuela",NA,39,0.48,"0.02"
"76","Zimbabwe",NA,0.3,0.09,"0.141"
